Year,Month,Monthly Rainfall (mm),Highest 60 Min Rainfall in Month (mm),Monthly Mean Temperature,Monthly Mean Wind Speed (km/h)
2001,4,257.5422078,,27.3625,7.010666667
2001,5,169.4136364,,27.99516129,7.089032258
2001,6,160.6958874,,27.79472222,7.576
2001,7,103.5285714,,28.00725806,8.918064516
2001,8,170.5183983,,27.69354839,8.076129032
2001,9,206.3045455,,27.43666667,7.930666667
2001,10,257.2703463,,27.48064516,7.787741935
2001,11,159.8681818,,27.04361111,8.198
2001,12,436.6090909,,26.6483871,9.110967742
2002,1,168.6318182,,26.9266129,13.33225806
2002,2,76.99545454,,27.16517857,13.52428571
2002,3,159.4636364,,27.78870968,10.23483871
2002,4,229.9454545,,28.04833333,7.334
2002,5,200.0409091,,28.51290323,7.595483871
2002,6,121.504329,,28.16916667,7.470666667
2002,7,179.987013,,28.00645161,9.372258065
2002,8,124.7909091,,27.86048387,9.512903226
2002,9,155.4863636,,27.5425,8.17
2002,10,113.55,,27.95241935,6.932258065
2002,11,336.6318182,,26.99083333,6.412666667
2002,12,359.2272727,,26.82258065,7.387741935
2003,1,358.0318182,,26.54516129,10.22774194
2003,2,156.1681818,,27.01071429,10.91285714
2003,3,170.6045455,,27.91935484,9.324516129
2003,4,346.05671,,27.41,6.346666667
2003,5,120.2772727,,28.8,7.823870968
2003,6,148.3090909,,28.37166667,8.724666667
2003,7,205.2681818,,27.53145161,8.578709677
2003,8,257.7954545,,27.73897849,8.048387097
2003,9,272.2835498,,27.035,7.796
2003,10,310.7363636,,27.30241935,7.495483871
2003,11,212.5727273,,26.90333333,5.884
2003,12,311.4454546,,26.44919355,10.41870968
2004,1,441.45,,26.69193548,11.94709677
2004,2,55.98181819,,27.38390805,12.64275862
2004,3,454.3636363,,27.42903226,7.52516129
2004,4,222.2727273,,28.18916667,5.512333333
2004,5,179.3045454,,28.39032258,5.911612903
2004,6,104.6727273,,28.57583333,8.396
2004,7,220.6590909,,27.13306452,7.8
2004,8,137.0181818,,27.97876344,9.970967742
2004,9,174.1045455,,27.30666667,7.660666667
2004,10,183.9727273,,27.42473118,6.622580645
2004,11,326.3590909,,26.91972222,7.945333333
2004,12,161.7363636,,26.55994624,11.37483871
